player_page,roles
910,AWP
AW,rifle
AZUWU,rifle
AlekS,igl
Aleksib,igl
BELCHONOKK,rifle
Bart4k,rifle
Boombl4,entry|igl
Bymas,lurk
Chr1zN,igl|rifle
CrePoW,igl
EliGE,entryfragger
FL4MUS,entryfragger
FalleN,igl|rifle
Gizmy,igl|rifler
Grim,entry
HUASOPEEK,entry
HeavyGod,rifle
HooXi,entry|igl
JBa,rifle
JT,entry|igl
Jame,awp|igl
KSCERATO,lurk
Krabeni,igl
Kvem,rifler
Lake,rifle
MAJ3R,igl|rifle
MATYS,unknown
MaSvAl,rifler
Magnojez,rifle
MartinezSa,unknown
MoDo,AWP
NAF,rifle
Neityu,rifle
NertZ,rifle
NiKo,entry
PR,rifle
REZ,awp|rifle
Rainwaker,lurk|support
S1ren,rifle
SHOCK,rifle
ScrunK,analyst
Senzu,awper|rifle
Snax,igl|rifle
Sonic,unknown
Spinx,lurk
Staehr,rifle
SunPayus,awp
Swisher,entry
TH0R,awp|igl
Tauson,rifle
TeSeS,entry
Techno4K,rifle
Twistzz,igl|rifle
Wicadia,rifle
X5G7V,igl|rifle
XANTARES,entryfragger
YEKINDAR,entry
ZywOo,awp|rifle
afro,awp
alex,caster
alex666,igl|rifle
apEX,igl
arT,entry|igl
b1t,support
bLitz,igl|rifle
beastik,igl|rifle
biguzera,igl|rifler
br0,rifle
broky,awp
cmtry,awp
cobrazera,rifler
controlez,rifle
corn,rifle
dav1g,entry
dem0n,rifle
dgt,lurker
donk,entry
dumau,awp|rifle
dziugss,rifle
electronic,unknown
esenthial,rifle
fame,rifle
flameZ,entry
frozen,rifle
huNter-,igl|lurk
hypex,AWP
iM,entry
jL,lurk
jabbi,rifle
jcobbb,rifle
karrigan,entry|igl
kashl1d,awp
kensizor,rifle
kisserek,Rifler
krazy,rifle
kyousuke,entry
latto,awp|rifle
lauNX,Rifle
luchov,entry
m0NESY,awp
magixx,igl
makazze,rifle
malbsMd,entry
max,entry|igl
meyern,awp
mezii,rifle
mo0N,awp
molodoy,awp
mopoz,entry
mzinho,Rifle
n1ssim,Rifler
nealan,unknown
nicx,rifle
nilo,rifle
nin9,awp|igl
nitr0,entry|igl
nota,rifle
npl,igl|rifle
oSee,awp
phzy,awp
piriajr,entry
qw1nk1,rifle
ropz,lurk
ryu,coach
s1mple,awp|rifle
s1n,igl|rifle
s1zzi,awp
sFade8,igl|rifle
saadzin,awp
saffee,awp
sausoL,unknown
sdy,igl|rifle
sh1ro,awp
siuhy,entry|igl
sk0R,rifle
slaxz-,awp
snow,support
soulfly,rifle
stressarN,rifle
susp,rifle
tN1R,rifle
tenzy,entry
torzsi,awp
try,awp
ultimate,AWPer
v$m,rifle
w0nderful,awp
woxic,awp
xeedo,rifle
xelex,rifle
xerolte,rifler
xertioN,entry|igl
xfl0ud,support
xiELO,rifle
yuurih,rifle
yxngstxr,rifle
zont1x,rifle
zorte,awp
zweih,rifle
