player_name,rounds_played_ct,rounds_played_t,awpy_rounds_ct,awpy_rounds_t,kills_ct,kills_t,deaths_ct,deaths_t,kpr_ct,kpr_t,dpr_ct,dpr_t,kdr_ct,kdr_t,survival_rate_ct,survival_rate_t,damage_ct,damage_t,awpy_damage_ct,awpy_damage_t,damage_taken_ct,damage_taken_t,damage_per_round_ct,damage_per_round_t,damage_taken_per_round_ct,damage_taken_per_round_t,damage_diff_per_round_ct,damage_diff_per_round_t,util_damage_ct,util_damage_t,util_damage_per_round_ct,util_damage_per_round_t,adr_ct,adr_t,kast_rounds_ct,kast_rounds_t,kast_ct,kast_t,impact_ct,impact_t,rating_ct,rating_t,assists_ct,assists_t,assists_per_round_ct,assists_per_round_t,flash_assists_ct,flash_assists_t,flash_assists_per_round_ct,flash_assists_per_round_t,trade_kills_ct,trade_kills_t,traded_deaths_ct,traded_deaths_t,trade_kill_rate_ct,trade_kill_rate_t,death_traded_rate_ct,death_traded_rate_t,trade_participation_ct,trade_participation_t,opening_kills_ct,opening_kills_t,opening_deaths_ct,opening_deaths_t,opening_kill_rate_ct,opening_kill_rate_t,opening_death_rate_ct,opening_death_rate_t,opening_duel_attempts_ct,opening_duel_attempts_t,opening_duel_success_ct,opening_duel_success_t,rounds_with_2k_ct,rounds_with_2k_t,rounds_with_3k_ct,rounds_with_3k_t,rounds_with_4k_ct,rounds_with_4k_t,rounds_with_5k_ct,rounds_with_5k_t,multi_kill_rounds_ct,multi_kill_rounds_t,multi_kill_rate_ct,multi_kill_rate_t,rifle_kills_ct,rifle_kills_t,awp_kills_ct,awp_kills_t,smg_kills_ct,smg_kills_t,pistol_kills_ct,pistol_kills_t,shotgun_kills_ct,shotgun_kills_t,scout_kills_ct,scout_kills_t,util_kills_ct,util_kills_t,rifle_kill_share_ct,rifle_kill_share_t,awp_kill_share_ct,awp_kill_share_t,grenades_thrown_ct,grenades_thrown_t,he_grenades_thrown_ct,he_grenades_thrown_t,flashbangs_thrown_ct,flashbangs_thrown_t,smokes_thrown_ct,smokes_thrown_t,fire_nades_thrown_ct,fire_nades_thrown_t,decoys_thrown_ct,decoys_thrown_t,grenades_per_round_ct,grenades_per_round_t,he_grenades_per_round_ct,he_grenades_per_round_t,flashbangs_per_round_ct,flashbangs_per_round_t,smokes_per_round_ct,smokes_per_round_t,fire_nades_per_round_ct,fire_nades_per_round_t,decoys_per_round_ct,decoys_per_round_t,rounds_played_total,pc1,pc2,cluster
Aleksib,117,129,117,129,65,66,66,92,0.5555555555555556,0.5116279069767442,0.5641025641025641,0.7131782945736435,0.9848484848484849,0.717391304347826,0.4358974358974359,0.2868217054263566,9328.0,9671.0,7855.0,8005.0,9299.0,12857.0,79.72649572649573,74.96899224806202,79.47863247863248,99.66666666666667,0.24786324786324787,-24.697674418604652,887.0,1018.0,7.581196581196581,7.891472868217054,67.13675213675214,62.054263565891475,88,96,75.21367521367522,74.4186046511628,0.9051282051282051,0.8034883720930233,0.9877536752136752,0.8947897674418605,34,38,0.2905982905982906,0.29457364341085274,5,6,0.042735042735042736,0.046511627906976744,19,22,16,26,0.2923076923076923,0.3333333333333333,0.24242424242424243,0.2826086956521739,0.29914529914529914,0.37209302325581395,10,4,6,10,0.15384615384615385,0.06060606060606061,0.09090909090909091,0.10869565217391304,16,14,0.625,0.2857142857142857,14,13,4,3,1,1,0,0,14,13,0.11965811965811966,0.10077519379844961,38,48,0,0,11,5,15,11,0,0,0,0,1,0,0.5846153846153846,0.7272727272727273,0.0,0.0,352,442,70,42,98,140,104,161,80,98,0,1,3.0085470085470085,3.4263565891472867,0.5982905982905983,0.32558139534883723,0.8376068376068376,1.0852713178294573,0.8888888888888888,1.248062015503876,0.6837606837606838,0.7596899224806202,0.0,0.007751937984496124,246,4.873040462026541,-4.572692320042843,-1
Brollan,95,84,95,84,60,46,56,63,0.631578947368421,0.5476190476190477,0.5894736842105263,0.75,1.0714285714285714,0.7301587301587301,0.4105263157894737,0.25,8953.0,6583.0,7461.0,5245.0,8302.0,10035.0,94.2421052631579,78.36904761904762,87.38947368421053,119.46428571428571,6.852631578947369,-41.095238095238095,646.0,157.0,6.8,1.869047619047619,78.53684210526316,62.44047619047619,73,50,76.84210526315789,59.523809523809526,1.0678947368421055,0.8507142857142856,1.129255157894737,0.7655144285714286,30,16,0.3157894736842105,0.19047619047619047,4,3,0.042105263157894736,0.03571428571428571,11,16,20,15,0.18333333333333332,0.34782608695652173,0.35714285714285715,0.23809523809523808,0.3263157894736842,0.36904761904761907,11,9,12,19,0.18333333333333332,0.1956521739130435,0.21428571428571427,0.30158730158730157,23,28,0.4782608695652174,0.32142857142857145,12,10,5,4,2,1,0,0,12,10,0.12631578947368421,0.11904761904761904,45,30,0,1,5,3,9,12,0,0,0,0,1,0,0.75,0.6521739130434783,0.0,0.021739130434782608,244,203,45,16,68,77,75,64,56,46,0,0,2.568421052631579,2.4166666666666665,0.47368421052631576,0.19047619047619047,0.7157894736842105,0.9166666666666666,0.7894736842105263,0.7619047619047619,0.5894736842105263,0.5476190476190477,0.0,0.0,179,0.3816386135084129,-2.579688697012509,-1
EliGE,42,44,42,44,31,22,30,39,0.7380952380952381,0.5,0.7142857142857143,0.8863636363636364,1.0333333333333334,0.5641025641025641,0.2857142857142857,0.11363636363636363,3828.0,3310.0,3198.0,2600.0,4348.0,5203.0,91.14285714285714,75.22727272727273,103.52380952380952,118.25,-12.380952380952381,-43.02272727272727,135.0,209.0,3.2142857142857144,4.75,76.14285714285714,59.09090909090909,31,29,73.80952380952381,65.9090909090909,1.2321428571428572,0.7409090909090907,1.1004571428571428,0.6952868181818183,7,9,0.16666666666666666,0.20454545454545456,0,1,0.0,0.022727272727272728,6,4,11,11,0.1935483870967742,0.18181818181818182,0.36666666666666664,0.28205128205128205,0.40476190476190477,0.3409090909090909,4,4,7,5,0.12903225806451613,0.18181818181818182,0.23333333333333334,0.1282051282051282,11,9,0.36363636363636365,0.4444444444444444,9,5,2,1,0,0,0,0,9,5,0.21428571428571427,0.11363636363636363,24,16,0,0,3,1,3,3,0,0,0,0,0,1,0.7741935483870968,0.7272727272727273,0.0,0.0,90,76,19,12,28,21,24,24,19,19,0,0,2.142857142857143,1.7272727272727273,0.4523809523809524,0.2727272727272727,0.6666666666666666,0.4772727272727273,0.5714285714285714,0.5454545454545454,0.4523809523809524,0.4318181818181818,0.0,0.0,86,-7.433212875245598,-1.476968402876974,2
Ex3rcice,63,53,63,53,41,29,47,40,0.6507936507936508,0.5471698113207547,0.746031746031746,0.7547169811320755,0.8723404255319149,0.725,0.25396825396825395,0.24528301886792453,5513.0,4397.0,4451.0,3356.0,6678.0,5508.0,87.5079365079365,82.9622641509434,106.0,103.9245283018868,-18.49206349206349,-20.962264150943398,206.0,334.0,3.2698412698412698,6.30188679245283,70.65079365079364,63.320754716981135,43,37,68.25396825396825,69.81132075471699,1.0295238095238095,0.8977358490566038,0.9517919365079366,0.9109731320754717,8,16,0.12698412698412698,0.3018867924528302,2,1,0.031746031746031744,0.018867924528301886,12,8,9,9,0.2926829268292683,0.27586206896551724,0.19148936170212766,0.225,0.3333333333333333,0.32075471698113206,7,1,6,11,0.17073170731707318,0.034482758620689655,0.1276595744680851,0.275,13,12,0.5384615384615384,0.08333333333333333,8,8,3,0,0,0,0,0,8,8,0.12698412698412698,0.1509433962264151,30,26,0,0,0,0,11,2,0,0,0,0,0,0,0.7317073170731707,0.896551724137931,0.0,0.0,116,105,26,24,27,26,31,23,32,32,0,0,1.8412698412698412,1.9811320754716981,0.4126984126984127,0.4528301886792453,0.42857142857142855,0.49056603773584906,0.49206349206349204,0.4339622641509434,0.5079365079365079,0.6037735849056604,0.0,0.0,116,-5.688250075431346,-2.110762311387164,1
FaNg,38,36,38,36,28,18,33,26,0.7368421052631579,0.5,0.868421052631579,0.7222222222222222,0.8484848484848485,0.6923076923076923,0.13157894736842105,0.2777777777777778,3626.0,2957.0,2795.0,2378.0,4716.0,3926.0,95.42105263157895,82.13888888888889,124.10526315789474,109.05555555555556,-28.68421052631579,-26.916666666666668,142.0,235.0,3.736842105263158,6.527777777777778,73.55263157894737,66.05555555555556,25,24,65.78947368421052,66.66666666666667,1.2147368421052631,0.7811111111111111,0.9642855789473685,0.801899,5,5,0.13157894736842105,0.1388888888888889,1,0,0.02631578947368421,0.0,10,8,5,5,0.35714285714285715,0.4444444444444444,0.15151515151515152,0.19230769230769232,0.39473684210526316,0.3611111111111111,4,3,4,4,0.14285714285714285,0.16666666666666666,0.12121212121212122,0.15384615384615385,8,7,0.5,0.42857142857142855,7,4,1,1,0,0,0,0,7,4,0.18421052631578946,0.1111111111111111,13,13,0,2,6,0,8,3,0,0,0,0,1,0,0.4642857142857143,0.7222222222222222,0.0,0.1111111111111111,52,62,10,14,10,10,22,11,10,25,0,2,1.368421052631579,1.7222222222222223,0.2631578947368421,0.3888888888888889,0.2631578947368421,0.2777777777777778,0.5789473684210527,0.3055555555555556,0.2631578947368421,0.6944444444444444,0.0,0.05555555555555555,74,-8.89933266029226,-0.3725382378736044,-1
FalleN,120,112,120,112,81,63,72,84,0.675,0.5625,0.6,0.75,1.125,0.75,0.4,0.25,11696.0,8714.0,9230.0,6915.0,9748.0,12273.0,97.46666666666667,77.80357142857143,81.23333333333333,109.58035714285714,16.233333333333334,-31.776785714285715,674.0,521.0,5.616666666666666,4.651785714285714,76.91666666666667,61.74107142857143,97,75,80.83333333333333,66.96428571428571,1.11875,0.9227678571428573,1.17077,0.8696707142857143,26,33,0.21666666666666667,0.29464285714285715,1,10,0.008333333333333333,0.08928571428571429,10,17,23,21,0.12345679012345678,0.2698412698412698,0.3194444444444444,0.25,0.275,0.3392857142857143,13,6,15,14,0.16049382716049382,0.09523809523809523,0.20833333333333334,0.16666666666666666,28,20,0.4642857142857143,0.3,20,15,4,1,1,0,0,0,20,15,0.16666666666666666,0.13392857142857142,46,42,4,3,11,4,17,11,0,0,2,1,1,1,0.5679012345679012,0.6666666666666666,0.04938271604938271,0.047619047619047616,277,372,46,6,69,153,94,129,67,84,1,0,2.308333333333333,3.3214285714285716,0.38333333333333336,0.05357142857142857,0.575,1.3660714285714286,0.7833333333333333,1.1517857142857142,0.5583333333333333,0.75,0.008333333333333333,0.0,232,4.1572772682170855,-0.3522386640280874,-1
Graviti,63,55,63,55,38,31,49,39,0.6031746031746031,0.5636363636363636,0.7777777777777778,0.7090909090909091,0.7755102040816326,0.7948717948717948,0.2222222222222222,0.2909090909090909,5758.0,4423.0,4760.0,3463.0,7001.0,5186.0,91.39682539682539,80.41818181818182,111.12698412698413,94.2909090909091,-19.73015873015873,-13.872727272727273,285.0,105.0,4.523809523809524,1.9090909090909092,75.55555555555556,62.96363636363636,44,43,69.84126984126983,78.18181818181819,0.9814285714285714,0.9047272727272728,0.9452361269841271,0.9563449454545455,16,13,0.25396825396825395,0.23636363636363636,1,2,0.015873015873015872,0.03636363636363636,9,13,12,13,0.23684210526315788,0.41935483870967744,0.24489795918367346,0.3333333333333333,0.3333333333333333,0.4727272727272727,9,1,10,8,0.23684210526315788,0.03225806451612903,0.20408163265306123,0.20512820512820512,19,9,0.47368421052631576,0.1111111111111111,6,7,3,2,1,0,0,0,6,7,0.09523809523809523,0.12727272727272726,32,23,0,0,2,5,2,2,0,0,0,0,2,0,0.8421052631578947,0.7419354838709677,0.0,0.0,124,123,26,8,31,54,41,39,26,22,0,0,1.9682539682539681,2.2363636363636363,0.4126984126984127,0.14545454545454545,0.49206349206349204,0.9818181818181818,0.6507936507936508,0.7090909090909091,0.4126984126984127,0.4,0.0,0.0,118,-4.816537560664983,-0.8975084455543796,1
HeavyGoD,91,115,91,115,63,83,51,79,0.6923076923076923,0.7217391304347827,0.5604395604395604,0.6869565217391305,1.2352941176470589,1.0506329113924051,0.43956043956043955,0.3130434782608696,8167.0,11089.0,6716.0,8721.0,7522.0,11259.0,89.74725274725274,96.42608695652174,82.65934065934066,97.90434782608696,7.087912087912088,-1.4782608695652173,457.0,153.0,5.021978021978022,1.3304347826086957,73.8021978021978,75.83478260869565,73,80,80.21978021978022,69.56521739130434,1.0914285714285714,1.1930434782608694,1.1468286153846152,1.0852846956521738,14,18,0.15384615384615385,0.1565217391304348,0,3,0.0,0.02608695652173913,10,20,15,20,0.15873015873015872,0.24096385542168675,0.29411764705882354,0.25316455696202533,0.27472527472527475,0.34782608695652173,10,11,5,9,0.15873015873015872,0.13253012048192772,0.09803921568627451,0.11392405063291139,15,20,0.6666666666666666,0.55,16,19,3,6,1,2,0,0,16,19,0.17582417582417584,0.16521739130434782,49,58,0,2,6,10,6,11,0,0,0,0,0,0,0.7777777777777778,0.6987951807228916,0.0,0.024096385542168676,224,221,42,9,54,84,73,69,55,59,0,0,2.4615384615384617,1.9217391304347826,0.46153846153846156,0.0782608695652174,0.5934065934065934,0.7304347826086957,0.8021978021978022,0.6,0.6043956043956044,0.5130434782608696,0.0,0.0,206,2.5026614917448082,-0.09777503059204008,0
JT,38,36,38,36,14,16,34,25,0.3684210526315789,0.4444444444444444,0.8947368421052632,0.6944444444444444,0.4117647058823529,0.64,0.10526315789473684,0.3055555555555556,2286.0,2263.0,2044.0,1862.0,4579.0,3710.0,60.1578947368421,62.861111111111114,120.5,103.05555555555556,-60.3421052631579,-40.19444444444444,214.0,107.0,5.631578947368421,2.9722222222222223,53.78947368421053,51.72222222222222,22,23,57.89473684210526,63.888888888888886,0.5821052631578947,0.6755555555555556,0.520520105263158,0.758027888888889,16,9,0.42105263157894735,0.25,5,7,0.13157894736842105,0.19444444444444445,5,7,7,9,0.35714285714285715,0.4375,0.20588235294117646,0.36,0.3157894736842105,0.4444444444444444,4,1,6,5,0.2857142857142857,0.0625,0.17647058823529413,0.2,10,6,0.4,0.16666666666666666,3,3,0,1,0,0,0,0,3,3,0.07894736842105263,0.08333333333333333,10,12,1,0,0,0,3,4,0,0,0,0,0,0,0.7142857142857143,0.75,0.07142857142857142,0.0,80,102,19,7,23,42,23,33,15,19,0,1,2.1052631578947367,2.8333333333333335,0.5,0.19444444444444445,0.6052631578947368,1.1666666666666667,0.6052631578947368,0.9166666666666666,0.39473684210526316,0.5277777777777778,0.0,0.027777777777777776,74,-9.958663247828571,-2.0497975973259064,-1
Jimpphat,95,84,95,84,70,35,49,58,0.7368421052631579,0.4166666666666667,0.5157894736842106,0.6904761904761905,1.4285714285714286,0.603448275862069,0.4842105263157895,0.30952380952380953,9070.0,5561.0,7243.0,4488.0,6944.0,8822.0,95.47368421052632,66.20238095238095,73.09473684210526,105.02380952380952,22.378947368421052,-38.82142857142857,237.0,253.0,2.4947368421052634,3.011904761904762,76.2421052631579,53.42857142857143,81,56,85.26315789473684,66.66666666666667,1.2390526315789474,0.6313095238095239,1.2779980210526314,0.7162132857142858,18,23,0.18947368421052632,0.27380952380952384,2,0,0.021052631578947368,0.0,15,13,14,16,0.21428571428571427,0.37142857142857144,0.2857142857142857,0.27586206896551724,0.30526315789473685,0.34523809523809523,10,5,5,6,0.14285714285714285,0.14285714285714285,0.10204081632653061,0.10344827586206896,15,11,0.6666666666666666,0.45454545454545453,19,7,6,2,0,0,0,0,19,7,0.2,0.08333333333333333,53,25,1,0,1,0,15,8,0,0,0,0,0,2,0.7571428571428571,0.7142857142857143,0.014285714285714285,0.0,208,142,62,17,27,39,63,55,56,30,0,1,2.1894736842105265,1.6904761904761905,0.6526315789473685,0.20238095238095238,0.28421052631578947,0.4642857142857143,0.6631578947368421,0.6547619047619048,0.5894736842105263,0.35714285714285715,0.0,0.011904761904761904,179,-1.0114190698493482,-0.3759905953686406,2
