method,k,n_clusters,min_cluster_size,n_noise,silhouette,davies_bouldin,cluster_sizes,output_name
kmeans,2.0,2,31,0,0.22448668433444294,1.6136041637730965,"{0: 49, 1: 31}",kmeans_k2
gmm,2.0,2,31,0,0.22448668433444294,1.6136041637730965,"{0: 49, 1: 31}",gmm_k2
hdbscan,,2,10,46,0.2173610149654952,1.4976619439845316,"{-1: 46, 0: 10, 1: 24}",hdbscan
kmeans,3.0,3,7,0,0.2070810265985264,1.6781444919143829,"{0: 26, 1: 47, 2: 7}",kmeans_k3
gmm,3.0,3,9,0,0.18331773306583193,1.941521278998928,"{0: 47, 1: 9, 2: 24}",gmm_k3
kmeans,4.0,4,11,0,0.1357062733268283,1.9084085382211402,"{0: 24, 1: 11, 2: 34, 3: 11}",kmeans_k4
gmm,4.0,4,6,0,0.12878652252070394,1.9155280813333768,"{0: 41, 1: 6, 2: 24, 3: 9}",gmm_k4
kmeans,5.0,5,7,0,0.12441256559530958,1.85359285765067,"{0: 9, 1: 26, 2: 28, 3: 7, 4: 10}",kmeans_k5
gmm,5.0,5,6,0,0.11975182470174192,1.8791532558818809,"{0: 33, 1: 6, 2: 23, 3: 9, 4: 9}",gmm_k5
gmm,6.0,6,2,0,0.11357939882209636,1.7828567934192676,"{0: 31, 1: 6, 2: 23, 3: 9, 4: 9, 5: 2}",gmm_k6
kmeans,7.0,7,3,0,0.1028258475937001,1.911666590270692,"{0: 5, 1: 17, 2: 10, 3: 3, 4: 16, 5: 6, 6: 23}",kmeans_k7
kmeans,6.0,6,5,0,0.10140831553687502,2.1057851674651107,"{0: 10, 1: 9, 2: 23, 3: 5, 4: 16, 5: 17}",kmeans_k6
gmm,7.0,7,2,0,0.08822679316691805,2.0164323116212484,"{0: 21, 1: 6, 2: 17, 3: 9, 4: 8, 5: 2, 6: 17}",gmm_k7
kmeans,8.0,8,3,0,0.08370997123059853,1.9655423752934877,"{0: 17, 1: 16, 2: 9, 3: 10, 4: 12, 5: 3, 6: 8, 7: 5}",kmeans_k8
gmm,8.0,8,1,0,,,"{0: 22, 1: 6, 2: 10, 3: 14, 4: 14, 5: 5, 6: 1, 7: 8}",gmm_k8
