feature,importance
awp_kill_share,0.18363678
rifle_kill_share,0.08755782
damage_per_round,0.07254056
first_contact_rate,0.06146795
time_stationary_rate,0.042311076
adr,0.034192536
time_near_enemy_rate,0.033894237
damage_taken_per_round,0.027623797
death_traded_rate,0.026381042
opening_duel_success,0.026059922
assists_per_round,0.025895108
rounds_played,0.024289317
damage_diff_per_round,0.022298738
time_stationary_rate_std,0.020743484
survival_rate,0.019442156
relative_team_centroid_distance,0.01910752
avg_distance_moved_per_round,0.01756501
kpr,0.01703618
multi_kill_rate,0.01623171
flash_assists_per_round,0.015895298
relative_team_centroid_distance_std,0.014956578
avg_distance_to_closest_teammate_std,0.014735748
time_near_enemy_rate_std,0.013758738
avg_distance_moved_per_round_std,0.01322056
adr_std,0.013207994
fire_nades_per_round,0.012829484
avg_distance_to_enemy,0.012365594
he_grenades_per_round,0.011600399
grenades_per_round,0.011530938
trade_participation,0.009052936
avg_distance_to_enemy_std,0.008463266
avg_distance_to_team_centroid,0.008290419
util_damage_per_round,0.007930292
avg_distance_to_closest_teammate,0.007419086
first_contact_rate_std,0.006903123
kast_std,0.006234871
smokes_per_round,0.005988464
avg_distance_to_team_centroid_std,0.005953176
opening_kill_rate,0.0051650363
opening_death_rate,0.00447706
impact_std,0.00410737
trade_kill_rate,0.003820229
flashbangs_per_round,0.002721219
rating_std,0.0010973815
decoys_per_round,0.0
