feature,importance
rifle_kill_share,0.12001727
awp_kill_share,0.089350335
rounds_played,0.0486243
assists_per_round,0.036962558
damage_per_round,0.03452325
time_near_enemy_rate,0.033857755
first_contact_rate,0.033810932
relative_team_centroid_distance_std,0.029304964
avg_distance_to_team_centroid,0.028407887
opening_duel_success,0.02784753
opening_kill_rate,0.027109649
kpr,0.027015785
time_near_enemy_rate_std,0.025637789
damage_diff_per_round,0.02335208
adr,0.0232275
death_traded_rate,0.01907466
fire_nades_per_round,0.018792622
damage_taken_per_round,0.018633088
time_stationary_rate_std,0.018033996
time_stationary_rate,0.017181905
rating_std,0.016772898
kast_std,0.016640488
opening_death_rate,0.016492525
avg_distance_to_closest_teammate_std,0.016448475
util_damage_per_round,0.015891196
avg_distance_to_enemy_std,0.015603628
avg_distance_to_closest_teammate,0.015353606
first_contact_rate_std,0.014793908
flash_assists_per_round,0.014162356
flashbangs_per_round,0.013833367
adr_std,0.013695321
avg_distance_moved_per_round,0.013298091
relative_team_centroid_distance,0.012198945
avg_distance_to_team_centroid_std,0.012065531
avg_distance_to_enemy,0.011662485
impact_std,0.011089252
smokes_per_round,0.010681892
avg_distance_moved_per_round_std,0.010393201
survival_rate,0.010028006
trade_kill_rate,0.009538237
multi_kill_rate,0.009491074
he_grenades_per_round,0.00692821
trade_participation,0.0064662634
grenades_per_round,0.005705145
decoys_per_round,0.0
