feature,importance
rifle_kill_share,0.1174939
awp_kill_share,0.103975296
avg_distance_to_team_centroid,0.07095572
adr,0.058520444
rating_std,0.038183242
relative_team_centroid_distance,0.036868304
damage_diff_per_round,0.036594
survival_rate,0.033431455
avg_distance_to_team_centroid_std,0.032039497
rounds_played,0.03074436
damage_taken_per_round,0.027926391
flashbangs_per_round,0.023675885
death_traded_rate,0.02317605
avg_distance_to_enemy,0.021588512
trade_kill_rate,0.02127784
fire_nades_per_round,0.017825782
adr_std,0.017101165
time_stationary_rate_std,0.016990308
util_damage_per_round,0.016884282
time_near_enemy_rate,0.015566736
smokes_per_round,0.015306236
avg_distance_moved_per_round,0.013740601
relative_team_centroid_distance_std,0.013673871
avg_distance_to_closest_teammate_std,0.0134814335
impact_std,0.013071899
opening_kill_rate,0.012997393
avg_distance_to_enemy_std,0.012384419
time_stationary_rate,0.012150138
opening_duel_success,0.0120814
avg_distance_to_closest_teammate,0.011969048
first_contact_rate_std,0.010635335
he_grenades_per_round,0.010309645
trade_participation,0.01018977
kast_std,0.009680028
damage_per_round,0.008305887
opening_death_rate,0.008090406
assists_per_round,0.0077927154
flash_assists_per_round,0.0076123704
time_near_enemy_rate_std,0.0067703696
first_contact_rate,0.0063764914
kpr,0.006013473
avg_distance_moved_per_round_std,0.0056967083
multi_kill_rate,0.0055072545
grenades_per_round,0.005343844
decoys_per_round,0.0
