component,explained_variance_ratio,cumulative_explained_variance
PC1,0.13736750822405683,0.13736750822405683
PC2,0.10512277712281422,0.24249028534687106
PC3,0.08628194793049598,0.32877223327736704
PC4,0.07890204848845435,0.4076742817658214
PC5,0.05677114235152993,0.4644454241173513
PC6,0.05063691197804405,0.5150823360953953
PC7,0.04575859167566377,0.5608409277710591
PC8,0.04463387076425193,0.605474798535311
PC9,0.038123169499269624,0.6435979680345807
PC10,0.03158531972970059,0.6751832877642813
PC11,0.0247421950789548,0.6999254828432361
PC12,0.02288819327674751,0.7228136761199836
PC13,0.020723297463787253,0.7435369735837708
PC14,0.01891545264499415,0.762452426228765
PC15,0.018034742075816405,0.7804871683045814
PC16,0.01652567163924356,0.797012839943825
PC17,0.015047409710996688,0.8120602496548217
PC18,0.013439052608294942,0.8254993022631166
PC19,0.012422367332537926,0.8379216695956545
PC20,0.011171956948102493,0.849093626543757
PC21,0.011112284484567626,0.8602059110283246
PC22,0.009735695807815626,0.8699416068361402
PC23,0.009169431780451187,0.8791110386165913
PC24,0.008581959133587126,0.8876929977501785
PC25,0.00820850448669258,0.895901502236871
PC26,0.007689748711697842,0.9035912509485688
