side,method,name,k,noise_pct,silhouette,davies_bouldin,stability_mean,stability_std,composite_score
t,hdbscan,hdbscan_mcs10_ms3,2,0.3125,0.2321014411964895,1.509704774191268,1.0,0.0,0.5725312245806016
t,hdbscan,hdbscan_mcs15_ms3,2,0.3125,0.2321014411964895,1.509704774191268,1.0,0.0,0.5725312245806016
t,hdbscan,hdbscan_mcs10_ms5,2,0.4062,0.23541180038943837,1.423556199658499,0.9983452767417662,0.010465388786547868,0.5718400350306075
t,hdbscan,hdbscan_mcs10_ms1,2,0.2062,0.21119258811990482,1.6337829982504708,1.0,0.0,0.5604134355257574
t,hdbscan,hdbscan_mcs15_ms1,2,0.2062,0.21119258811990482,1.6337829982504708,1.0,0.0,0.5604134355257574
t,hdbscan,hdbscan_mcs5_ms5,2,0.4062,0.23541180038943837,1.423556199658499,0.9714746824325697,0.1480184584014334,0.5060705694609747
t,hdbscan,hdbscan_mcs5_ms3,2,0.3125,0.2321014411964895,1.509704774191268,0.876740142365816,0.2729294903522204,0.41405548538603976
t,hdbscan,hdbscan_mcs5_ms1,2,0.2062,0.21119258811990482,1.6337829982504708,0.8636921849649027,0.28945666882399995,0.3901076419821185
t,kmeans,kmeans_k5,5,0.0,0.11711771958676012,2.1132396858085642,0.6546137491074266,0.12717175102803263,0.32206564812060823
t,hdbscan,hdbscan_mcs3_ms5,2,0.4062,0.23541180038943837,1.423556199658499,0.7201543115607965,0.4298178972896982,0.29282264555695947
t,kmeans,kmeans_k4,4,0.0,0.10460697522619178,2.3619288767109037,0.5589192774857065,0.1385283020206347,0.2694888385454416
t,kmeans,kmeans_k6,6,0.0,0.09309846047825324,2.2440379631355674,0.5184352160369508,0.09454747611369245,0.2684460398133429
t,kmeans,kmeans_k3,3,0.0,0.10477761177468423,2.473913384908723,0.5827943316673971,0.18271746522069104,0.2595137505863424
t,kmeans,kmeans_k7,7,0.0,0.08960904386501731,2.2217626754234594,0.5031457152240274,0.1046100596368024,0.25733569871078216
t,kmeans,kmeans_k8,8,0.0,0.07711395276253578,2.3005711540055325,0.4712204610490107,0.08630427762675351,0.2454076273817403
t,gmm,gmm_k3,3,0.0,0.10654745539044556,2.4653929367252143,0.46747646883514143,0.13819904260327995,0.23204346556125635
t,hdbscan,hdbscan_mcs3_ms3,2,0.3125,0.2321014411964895,1.509704774191268,0.5142787701653867,0.3674102394183833,0.2312786368794029
t,gmm,gmm_k5,5,0.0,0.10822734353448915,2.2031564476413243,0.45636142270642827,0.14335294783048458,0.23093273874656814
t,gmm,gmm_k4,4,0.0,0.10227892156512108,2.3573282716132162,0.4299816757328346,0.12881475646562596,0.2209495143112768
t,gmm,gmm_k6,6,0.0,0.09314134315029639,2.295071407291908,0.4114853606135689,0.10682865403302441,0.2198159318231932
t,gmm,gmm_k8,8,0.0,0.07701929257354281,2.361083651707874,0.3986753547284018,0.08967648142301585,0.21391188472022582
t,gmm,gmm_k7,7,0.0,0.07091954761441108,2.3585111152950056,0.38507363689281965,0.08635504559989929,0.20740545299690247
t,hdbscan,hdbscan_mcs3_ms1,2,0.2062,0.21119258811990482,1.6337829982504708,0.13547950138969286,0.1262449059522615,0.16410727370072994
